date_added_month,title_count,month_name,share
1,610,Jan,0.09802346135304515
2,378,Feb,0.06074240719910011
3,551,Mar,0.08854250361561948
4,447,Apr,0.07183030692591998
5,428,May,0.06877711714607103
6,393,Jun,0.06315282018319139
7,474,Jul,0.07616905029728427
8,509,Aug,0.0817933472601639
9,479,Sep,0.07697252129198136
10,646,Oct,0.10380845251486422
11,612,Nov,0.09834484975092399
12,696,Dec,0.11184316246183512
