rating_group,title_count,valid_lag_title_count,median_release_year,median_lag,p75_lag,share_recent_1y,share_recent_3y,share_recent_5y
Mature,4009,3997,2017.0,1.0,3.0,0.6339754816112084,0.7633224918689017,0.8256192144108081
Teen,2650,2646,2016.0,2.0,8.0,0.4429327286470144,0.5910808767951625,0.6696900982615268
Family,1411,1408,2016.0,2.0,7.0,0.4928977272727273,0.6228693181818182,0.7009943181818182
Kids,647,643,2018.0,1.0,4.0,0.5987558320373251,0.7465007776049767,0.8304821150855366
Unknown / Unrated,87,86,2015.0,2.0,5.75,0.45348837209302323,0.6627906976744186,0.7441860465116279
Other,3,3,2015.0,1.0,3.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
