dimension,entity_count,top_3_share,top_5_share,top_10_share,entities_to_50pct,hhi
type,2,1.0,1.0,1.0,1,0.5678234966145994
rating_group,5,0.8970163618864293,1.0,1.0,2,0.30210260950098344
genre,42,0.3411119239209949,0.46320409656181416,0.6516459400146307,6,0.06163548883736137
country,110,0.5641454241537819,0.6461902771973813,0.7647304638529043,3,0.16103338114849963
