rating_group,title_count,share,cumulative_share,entity_rank,hhi
Mature,2537,0.4069618222649984,0.4069618222649984,1,0.30210260950098344
Teen,1984,0.3182547321142124,0.7252165543792108,2,0.30210260950098344
Family,1071,0.1717998075072185,0.8970163618864293,3,0.30210260950098344
Kids,407,0.06528713506576837,0.9623034969521976,4,0.30210260950098344
Unknown / Unrated,235,0.03769650304780237,1.0,5,0.30210260950098344
