type,title_count,valid_lag_title_count,median_release_year,median_lag,p75_lag,share_recent_1y,share_recent_3y,share_recent_5y
Movie,6131,6129,2016.0,2.0,7,0.49600261054005546,0.632729645945505,0.7084353075542503
TV Show,2676,2654,2018.0,0.0,2,0.6729464958553127,0.8112283345892992,0.8730218538055765
