cluster_count,silhouette_score,min_cluster_share,max_cluster_share,cluster_share_vector
4,0.2017871228695401,0.04411292909849214,0.40648059031119665,0.044|0.286|0.263|0.406
5,0.21615232859866226,0.04411292909849214,0.38610843760025665,0.246|0.049|0.275|0.386|0.044
6,0.21799345729164868,0.04411292909849214,0.28761629772216873,0.288|0.245|0.198|0.044|0.049|0.176
7,0.21441901287188658,0.0381777350016041,0.28761629772216873,0.198|0.141|0.038|0.288|0.175|0.112|0.048
