country_scope,title_count,share,cumulative_share,entity_rank,hhi
Single-country,6661,0.7563301918928126,0.7563301918928126,1,0.6032329434781671
Multi-country,1315,0.14931304644033155,0.9056432383331441,2,0.6032329434781671
Missing country,831,0.09435676166685592,1.0,3,0.6032329434781671
